profile pic,nums/length username,fullname words,nums/length fullname,name==username,description length,external URL,private,#posts,#followers,#follows,fake
1,0.27,0,0,0,53,0,0,32,1000,955,0
1,0,2,0,0,44,0,0,286,2740,533,0
1,0.1,2,0,0,0,0,1,13,159,98,0
1,0,1,0,0,82,0,0,679,414,651,0
1,0,2,0,0,0,0,1,6,151,126,0
1,0,4,0,0,81,1,0,344,669987,150,0
1,0,2,0,0,50,0,0,16,122,177,0
1,0,2,0,0,0,0,0,33,1078,76,0
1,0,0,0,0,71,0,0,72,1824,2713,0
1,0,2,0,0,40,1,0,213,12945,813,0
1,0,2,0,0,54,0,0,648,9884,1173,0
1,0,2,0,0,54,1,0,76,1188,365,0
1,0,2,0,0,0,1,0,298,945,583,0
1,0,2,0,0,103,1,0,117,12033,248,0
1,0,2,0,0,98,1,0,487,1962,2701,0
1,0,3,0,0,46,0,0,254,50374,900,0
1,0,3,0,0,0,0,0,59,7007,289,0
1,0.29,3,0,0,48,0,0,1570,1128,694,0
1,0,2,0,0,63,1,0,378,34670,1878,0
1,0,2,0,0,106,1,0,526,2338,776,0
1,0,2,0,0,40,0,0,228,3516,999,0
1,0,1,0,0,35,1,1,35,1809,416,0
1,0,2,0,0,30,0,0,281,427,470,0
1,0,1,0,0,27,0,0,285,759,956,0
1,0,0,0,0,0,0,0,148,15338538,61,0
1,0,1,0,0,109,1,1,57,109,179,0
1,0,6,0,0,0,0,1,17,536,665,0
1,0,2,0,0,132,1,0,511,121354,176,0
1,0,2,0,0,126,1,0,230,2284,130,0
1,0,2,0,0,122,0,1,15,186,174,0
1,0,2,0,0,138,0,1,980,687,1517,0
1,0.13,0,0,0,0,0,1,53,966,952,0
1,0,2,0,0,50,0,1,111,177,170,0
1,0,2,0,0,35,0,0,719,744,967,0
1,0,2,0,0,56,1,0,1164,542073,674,0
1,0.18,2,0,0,9,0,0,497,5315651,2703,0
1,0.33,0,0,0,0,0,1,18,267,328,0
1,0,2,0,0,81,0,0,50,691,680,0
1,0,2,0,0,134,0,1,74,120,112,0
1,0,2,0,0,0,0,0,8,105,98,0
1,0,0,0,0,2,0,0,7389,890969,11,0
1,0,2,0,0,0,1,0,420,361853,583,0
1,0,2,0,0,23,0,0,433,3678,1359,0
1,0,2,0,0,138,1,0,156,92192,16,0
1,0,4,0,0,35,0,0,4494,12397719,8,0
1,0,3,0,0,93,0,0,751,380510,0,0
1,0,2,0,0,4,0,1,4,132,183,0
1,0,2,0,0,1,0,1,27,162,208,0
1,0,1,0,0,4,0,0,91,369,546,0
1,0,0,0,0,23,0,0,262,1476,666,0
1,0,3,0,0,91,1,0,274,1798,461,0
1,0,2,0,0,57,0,0,271,2118,1109,0
1,0,1,0,0,108,1,0,713,812,432,0
1,0,2,0.12,0,30,1,0,200,7217,761,0
1,0,0,0,0,82,0,0,12,313,376,0
1,0.12,1,0,0,12,1,0,26,64,261,0
1,0,2,0,0,54,0,0,75,1759,643,0
1,0,1,0,0,0,0,1,94,404,283,0
1,0,1,0,0,12,0,0,63,1843,598,0
1,0.12,2,0,0,0,0,0,69,320377,228,0
1,0,1,0,0,3,0,0,12,108,97,0
1,0,1,0,0,39,1,0,63,384,447,0
1,0.19,2,0,0,0,0,0,19,60,100,0
1,0,1,0,0,68,1,0,100,802,151,0
1,0,2,0,0,129,1,0,661,51145,528,0
1,0,2,0,0,57,1,0,149,1582,1882,0
1,0,2,0,0,64,0,0,22,223,266,0
1,0,1,0,0,42,0,0,400,18842,744,0
1,0,2,0,0,71,1,0,149,10240,1255,0
1,0,3,0,0,0,0,0,122,539,639,0
1,0.33,2,0,0,70,0,0,74,399,452,0
1,0,1,0,0,74,0,0,13,581,568,0
1,0,1,0,0,8,0,1,8,166,163,0
1,0,2,0,0,35,0,0,77,417,362,0
1,0.2,2,0,0,0,0,1,5,266,324,0
1,0,1,0,0,0,0,1,3,33,37,0
1,0,2,0,0,28,0,1,106,494,998,0
1,0,2,0,0,18,0,1,14,178,245,0
1,0,3,0,0,28,0,0,172,470,288,0
1,0.33,1,0,0,36,0,0,111,807,675,0
1,0,2,0,0,2,0,0,38,162,256,0
1,0.06,2,0,0,11,0,1,19,417,395,0
1,0,3,0,0,70,1,0,227,17303,360,0
1,0,2,0,0,29,0,0,221,1439,629,0
1,0,2,0,0,24,1,0,580,91446,526,0
1,0,3,0,0,21,1,0,40,824,489,0
1,0,1,0,0,81,0,0,101,741,1440,0
1,0,1,0,0,34,1,1,157,1267,899,0
1,0,0,0,0,40,0,0,197,4594,1713,0
1,0,1,0,0,12,0,0,61,1135,899,0
1,0,2,0,0,0,0,1,698,1926,1410,0
1,0,2,0,0,59,0,1,49,1068,1925,0
1,0,1,0,0,15,0,1,85,815,748,0
1,0,2,0,0,54,0,0,77,565,469,0
1,0,1,0,0,16,0,0,58,2556,1074,0
1,0,2,0,0,73,0,1,232,1312,935,0
1,0,1,0,0,24,0,0,20,699,599,0
1,0,0,0,0,0,0,0,98,4328,418,0
1,0,0,0,0,26,1,0,559,2487,999,0
1,0,3,0,0,0,0,0,189,673,438,0
1,0,2,0,0,0,0,1,388,730,413,0
1,0,0,0,0,0,0,1,28,59,55,0
1,0,3,0,0,0,0,1,156,289,222,0
1,0,1,0,0,28,0,1,6,19,20,0
1,0,2,0,0,55,1,0,69,3551,173,0
1,0,1,0,0,140,1,0,775,19512,591,0
1,0,0,0,0,122,1,0,205,2756,638,0
1,0,2,0,0,113,1,0,209,5406,589,0
1,0,2,0,0,38,0,1,334,459,390,0
1,0,2,0,0,0,0,0,9,218,75,0
1,0,2,0,0,23,0,0,6,796,1155,0
1,0,1,0,0,0,0,0,416,1113,1854,0
1,0.2,1,0,0,89,0,1,13,138,208,0
1,0.44,1,0,0,30,0,1,33,205,164,0
1,0,1,0,0,0,0,0,1,331,333,0
1,0.1,1,0.1,0,0,0,0,711,748,4659,0
1,0,1,0,0,0,0,0,114,490,1093,0
1,0,1,0.08,0,12,0,1,16,456,413,0
1,0,0,0,0,123,1,0,107,971,2047,0
1,0.24,1,0.24,0,0,0,0,5,497,438,0
1,0.14,2,0,0,0,0,1,7,99,132,0
1,0,0,0,0,0,0,1,21,193,413,0
1,0,2,0,0,40,0,0,65,492,689,0
1,0.29,2,0,0,0,0,0,10,167,164,0
1,0,2,0,0,33,0,1,59,99,178,0
1,0,0,0,0,0,0,1,137,916,1142,0
1,0,2,0,0,5,0,1,10,196,209,0
1,0,1,0,0,0,0,1,571,765,424,0
1,0.18,2,0,0,23,0,1,24,45,80,0
1,0,1,0,0,35,1,0,328,634,719,0
1,0,4,0,0,150,1,0,161,1383,7500,0
1,0,1,0,0,26,0,1,280,650,703,0
1,0,2,0,0,149,0,1,92,484,3296,0
1,0,3,0,0,129,0,0,31,200,270,0
